,0
0,-8.02
1,-8.41
2,-8.51
3,-8.31
4,-8.27
5,-8.05
6,-7.62
7,-7.62
8,-7.91
9,-8.43
10,-8.76
11,-8.88
12,-8.85
13,-8.83
14,-8.66
15,-8.66
16,-8.7
17,-8.81
18,-8.84
19,-8.94
20,-8.94
21,-8.86
22,-8.99
23,-9.05
24,-9.23
25,-9.49
26,-9.5
27,-9.35
28,-9.47
29,-9.63
30,-9.67
31,-9.68
32,-9.9
33,-9.91
34,-9.51
35,-9.67
36,-9.59
37,-9.15
38,-8.91
39,-9.04
40,-9.43
41,-9.17
42,-8.71
43,-8.55
44,-8.4
45,-8.3
46,-8.13
47,-8.1
48,-8.14
49,-8.06
50,-7.95
51,-7.74
52,-7.57
53,-7.66
54,-7.71
55,-7.56
56,-7.29
57,-7.15
58,-7.02
59,-7.04
60,-7.03
61,-7.15
62,-7.26
63,-7.34
64,-7.35
65,-7.41
66,-7.48
67,-7.38
68,-7.21
69,-7.16
70,-7.03
71,-6.87
72,-6.77
73,-6.7
74,-6.61
75,-6.51
76,-6.21
77,-5.89
78,-5.83
79,-5.76
80,-5.9
81,-5.97
82,-5.88
83,-5.94
84,-5.84
85,-5.76
86,-5.75
87,-5.76
88,-5.73
89,-5.69
90,-5.53
91,-5.57
92,-5.43
93,-5.32
94,-5.36
95,-5.4
96,-5.31
97,-5.28
98,-5.32
99,-5.29
100,-5.33
101,-5.37
102,-5.43
103,-5.28
104,-5.21
105,-5.21
106,-5.24
107,-5.25
108,-5.16
109,-5.12
110,-5.04
111,-5.01
112,-5.12
113,-5.11
114,-4.9
115,-4.86
116,-4.9
117,-4.97
118,-4.99
119,-4.9
120,-4.93
121,-4.89
122,-4.93
123,-5.0
124,-4.9
125,-4.8
126,-4.84
127,-4.9
128,-4.86
129,-4.76
130,-4.61
131,-4.5
132,-4.41
133,-4.4
134,-4.32
135,-4.17
136,-4.3
137,-4.47
138,-4.5
139,-4.51
140,-4.33
141,-4.33
142,-4.58
143,-4.54
144,-4.6
145,-4.67
146,-4.66
147,-4.55
148,-4.43
149,-4.44
150,-4.39
151,-4.4
152,-4.4
153,-4.31
154,-4.26
155,-4.29
156,-4.26
157,-4.27
158,-4.3
159,-4.32
160,-4.39
161,-4.45
162,-4.5
163,-4.48
164,-4.43
165,-4.33
166,-4.41
167,-4.58
168,-4.63
169,-4.63
170,-4.74
171,-4.86
172,-4.97
173,-4.96
174,-4.94
175,-4.78
176,-4.63
177,-4.64
178,-4.67
179,-4.43
180,-4.38
181,-4.32
182,-4.25
183,-4.16
184,-4.26
185,-4.28
186,-4.34
187,-4.37
188,-4.33
189,-4.43
190,-4.39
191,-4.33
192,-4.37
193,-4.31
194,-4.3
195,-4.24
196,-4.17
197,-4.13
198,-4.07
199,-3.95
200,-3.9
201,-3.9
202,-3.92
203,-3.93
204,-3.97
205,-3.93
206,-3.9
207,-3.87
208,-3.74
209,-3.62
210,-3.49
211,-3.36
212,-3.21
213,-3.17
214,-3.02
215,-3.12
216,-3.07
217,-2.9
218,-2.81
219,-2.8
220,-2.64
221,-2.53
222,-2.54
223,-2.49
224,-2.26
225,-2.21
226,-2.41
227,-2.56
228,-2.62
229,-2.54
230,-2.14
231,-2.22
232,-2.18
233,-2.12
234,-2.31
235,-2.42
236,-2.47
237,-2.55
238,-2.65
239,-2.76
240,-2.81
241,-2.83
242,-2.84
243,-2.83
244,-2.84
245,-2.88
246,-2.96
247,-2.96
248,-2.97
249,-3.03
250,-3.05
251,-3.07
252,-3.16
253,-3.2
254,-3.23
255,-3.29
256,-3.3
257,-3.34
258,-3.36
259,-3.36
260,-3.36
261,-3.36
262,-3.31
263,-3.3
264,-3.28
265,-3.36
266,-3.36
267,-3.36
268,-3.43
269,-3.49
270,-3.5
271,-3.52
272,-3.66
273,-3.8
274,-3.94
275,-4.02
276,-4.06
277,-4.2
278,-4.34
279,-4.3
280,-4.35
281,-4.38
282,-4.45
283,-4.53
284,-4.57
285,-4.56
286,-4.59
287,-4.71
288,-4.89
289,-5.2
290,-5.48
291,-5.5
292,-5.43
293,-5.28
294,-5.39
295,-5.66
296,-5.7
297,-5.89
298,-6.08
299,-6.23
300,-6.38
301,-6.55
302,-6.41
303,-6.12
304,-6.01
305,-6.13
306,-6.36
307,-6.48
308,-6.46
309,-6.33
310,-6.39
311,-6.21
312,-6.17
313,-6.25
314,-6.3
315,-6.49
316,-6.64
317,-7.02
318,-7.19
319,-7.35
320,-7.54
321,-7.8
322,-7.96
323,-8.2
324,-8.14
325,-7.92
326,-7.89
327,-7.97
328,-8.1
329,-8.48
330,-8.63
331,-8.61
332,-8.61
333,-8.85
334,-9.18
335,-9.28
336,-9.45
337,-9.81
338,-9.85
339,-9.71
340,-9.4
341,-9.46
342,-10.0
343,-9.93
344,-9.3
345,-8.83
346,-8.48
347,-8.53
348,-8.56
349,-8.47
350,-8.51
351,-8.41
352,-8.16
353,-7.87
354,-7.52
355,-7.29
356,-6.89
357,-6.56
358,-6.32
359,-5.96
360,-5.78
361,-5.15
362,-4.34
363,-3.77
364,-3.27
365,-2.82
366,-2.23
367,-2.37
368,-2.11
369,-1.66
370,-1.43
371,-2.15
372,-2.74
373,-2.29
374,-1.66
375,-1.52
376,-0.9
377,-0.82
378,-1.37
379,-1.91
380,-2.28
381,-2.24
